nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date
NASI BAKAR NANBU SOKO BY REYSALSA KITCHEN,JL. GUDANG SELATAN NO.87A,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,254,7,2.0,enriched_v1.0,2025-07-09
SATE - GULE - SOTO GUJES,JL. GUDANG SELATAN NO.87,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,155,8,2.0,enriched_v1.0,2025-07-09
"WAROENG SPESIAL SAMBAL ""SS"" BAWEAN",JL. BAWEAN NO.1,sumur bandung,4.2,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,480,8,2.0,enriched_v1.0,2025-07-09
LANEO CAFE & EATERY BANDUNG,JL. JAWA NO.46/48,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,231,1,2.0,enriched_v1.0,2025-07-09
BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,4.7,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,710,8,2.0,enriched_v1.0,2025-07-09
NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,4315,7,2.0,enriched_v1.0,2025-07-09
WARUNG BAROKAH,JL. SUMBAWA NO.8,sumur bandung,4.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,751,7,2.0,enriched_v1.0,2025-07-09
BASO TAHU & SIOMAY BAROKAH PAK ROJI,"3JP8+7XQ, JL. BALI",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,118,8,2.0,enriched_v1.0,2025-07-09
WARUNG NASI HIQMAH,JL. BALI NO.2,sumur bandung,3.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,425,7,2.0,enriched_v1.0,2025-07-09
SOTO MIE BOGOR SADULUR LANANG,JL. GUDANG SELATAN NO.22,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,60,8,2.0,enriched_v1.0,2025-07-09
WARUNG MBAK YATI,JL. BANGKA,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,209,7,2.0,enriched_v1.0,2025-07-09
"SOTO KUDUS,GARANG ASEM,MANGUT BAROKAH",JL. GUDANG UTARA NO.1,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,481,8,2.0,enriched_v1.0,2025-07-09
SATE PADANG TUAH SAKATO (TAMAN MUSIK),JL. BELITUNG NO.10,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3169,8,2.0,enriched_v1.0,2025-07-09
RUMAH MAKAN SOTO BALI,JL. BALI NO.2,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,866,7,2.0,enriched_v1.0,2025-07-09
SATE MAS DADEUNG,JL. RAKATA NO.79,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,195,8,2.0,enriched_v1.0,2025-07-09
RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Local Food,195,7,2.0,enriched_v1.0,2025-07-09
BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0),Restaurant,111,8,2.0,enriched_v1.0,2025-07-09
TON KEDAI,"KOMPLEK RUKO SEGITIGA MAS JL. A. YANI.221-223 BLOK E-12 &
  E-13",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,108,8,2.0,enriched_v1.0,2025-07-09
KOREAN COMFORT FOOD,"3JMG+VC6, JL. GANDAPURA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Korean Food,95,6,2.0,enriched_v1.0,2025-07-09
NARENDANG,JL. KALIMANTAN NO.5,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,70,8,2.0,enriched_v1.0,2025-07-09
PUSAT KULINER,"3JMH+X5P, JL. KEMUNING",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09
AREBEST CAFE&RESTO,JL. LOMBOK NO.10,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,133,1,2.0,enriched_v1.0,2025-07-09
TERAZ COZY,"3JQ8+3JC, JL. SUMBAWA",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,181,8,2.0,enriched_v1.0,2025-07-09
"BRUNCH CAFE, WAFFLES & COFFEE",JL. ANGGREK NO.34,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,213,1,2.0,enriched_v1.0,2025-07-09
NINETEN BURGER & BAR,JL. BANDA NO.3S,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Fast Food,143,4,2.0,enriched_v1.0,2025-07-09
FARM TO TABLE,JL. CULAN NO.9,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,73,8,2.0,enriched_v1.0,2025-07-09
BIJAN RESTORAN NUSANTARA,JL. JAWA NO.54,sumur bandung,4.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,192,8,2.0,enriched_v1.0,2025-07-09
PAGI SORE BANDUNG,JL. SUMATERA NO.31,sumur bandung,4.1,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3897,8,2.0,enriched_v1.0,2025-07-09
NASI TIMBEL BAWEAN,JL. BAWEAN NO.3,sumur bandung,4.5,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,975,7,2.0,enriched_v1.0,2025-07-09
BAWEAN RESTO,JL. GANDAPURA NO.43,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,72,8,2.0,enriched_v1.0,2025-07-09
KAMPUNG MUARA SUNDA BANDUNG,JL. SUMBAWA NO.10 - 12,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3169,8,2.0,enriched_v1.0,2025-07-09
POINT COFFEE,JL. JAWA NO.38MERDEKAKEC,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,79,1,2.0,enriched_v1.0,2025-07-09
KOPI MOYAN,JL. ANGGREK NO.30,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,413,1,2.0,enriched_v1.0,2025-07-09
HAFA WAREHOUSE,JL. GUDANG SELATAN NO.88,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,92,8,2.0,enriched_v1.0,2025-07-09
TOKO AKARASA,JL. ANGGREK NO.27,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,174,8,2.0,enriched_v1.0,2025-07-09
HAMPTON COFFEE & EATERY,JL. ACEH NO.64,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,122,1,2.0,enriched_v1.0,2025-07-09
VAPORID PEJUANG,JL. ACEH NO.66,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,283,8,2.0,enriched_v1.0,2025-07-09
KALUARGI JAWA,JL. JAWA NO.36A,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,126,8,2.0,enriched_v1.0,2025-07-09
KUNASI INDONESIA,JL. GANDAPURA NO.61,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,281,7,2.0,enriched_v1.0,2025-07-09
EATBOSS MANGGALA,JL. ACEH NO.66,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,2294,8,2.0,enriched_v1.0,2025-07-09
KEDAIFAVORITE,"NO., JL. L. L. R.E. MARTADINATA NO.162",sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,158,8,2.0,enriched_v1.0,2025-07-09
PIZZA HUT RESTAURANT,JL. GANDAPURA NO.126,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Fast Food,244,4,2.0,enriched_v1.0,2025-07-09
HAKATA IKKOUSHA,LLRE MARTADINATA ST NO.172,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,190,8,2.0,enriched_v1.0,2025-07-09
AMITY COFFEE & SPACE,JL. GANDAPURA NO.55,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,260,1,2.0,enriched_v1.0,2025-07-09
STEAMBOAT AYUTTHAYA,JL. GUDANG SELATAN NO.45,sumur bandung,1.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5),Restaurant,334,8,2.0,enriched_v1.0,2025-07-09
RAMENS @GUDANG SELATAN,JL. GUDANG SELATAN NO.22,sumur bandung,4.1,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Japanese Food,282,5,2.0,enriched_v1.0,2025-07-09
RESTORAN SEDERHANA RIAU,LLRE MARTADINATA ST NO.128,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,112,8,2.0,enriched_v1.0,2025-07-09
MAMAYU MIE BAKSO,"NO 60KB, JL. SUNDA",sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,48,8,2.0,enriched_v1.0,2025-07-09
PRIMA RASA BAKERY PASTRY,JL. KEMUNING NO.20,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Bakery,795,0,2.0,enriched_v1.0,2025-07-09
FAT PHÓ • GANDAPURA,JL. GANDAPURA NO.75,bandung wetan,4.7,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,607,8,2.0,enriched_v1.0,2025-07-09
AYAM BAKAR WONGSOLO BANDUNG,LLRE MARTADINATA ST NO.152,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,242,8,2.0,enriched_v1.0,2025-07-09
SONOMA CAFE|RESTO (SONOMA GOLD),JL. LOMBOK NO.29,sumur bandung,4.5,Rp 100.000 - 200.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,160,1,2.0,enriched_v1.0,2025-07-09
JUSTUS STEAK HOUSE JAWA,JL. JAWA NO.50,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Western Food,398,10,2.0,enriched_v1.0,2025-07-09
STEAK HOTEL BY HOLYCOW! TKP BANDUNG,JL. ANGGREK NO.29,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Western Food,73,10,2.0,enriched_v1.0,2025-07-09
FUEGO ROASTHOUSE & NORGE PARLOR,JL. BANDA NO.4,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,70,8,2.0,enriched_v1.0,2025-07-09
TAMIKO BY TAMI YAKITORI,JL. ANGGREK NO.34,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,127,8,2.0,enriched_v1.0,2025-07-09
NICHI IZAKAYA & DEN KAISEKI,JL. SUMBAWA NO.12,sumur bandung,4.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,114,8,2.0,enriched_v1.0,2025-07-09
ROOTS RESTO & LOUNGE,JL. GUDANG SELATAN NO.22,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,315,8,2.0,enriched_v1.0,2025-07-09
SOUTH GARDEN,JL. GUDANG SELATAN NO.88,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,33,8,2.0,enriched_v1.0,2025-07-09
SUNDAY BOWL CEREAL CLUB,JL. KEMUNING NO.8,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,94,8,2.0,enriched_v1.0,2025-07-09
AYAKABE HOUSE OF WARAU,JL. GUDANG SELATAN,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,66,8,2.0,enriched_v1.0,2025-07-09
VAN HENGEL CATERING,JL. BELITUNG NO.3,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,16,8,2.0,enriched_v1.0,2025-07-09
SITE COFFEE BANDUNG,JL. KALIMANTAN NO.1,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,180,1,2.0,enriched_v1.0,2025-07-09
DORI ID ASIA AFRIKA,JL. ASIA AFRIKA NO.129,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,68,8,2.0,enriched_v1.0,2025-07-09
BEEF BULGOGI CHICKEN GALBI,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,489,8,2.0,enriched_v1.0,2025-07-09
ROEMAH LEGIT,JL. EMBONG NO.15,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,428,8,2.0,enriched_v1.0,2025-07-09
AYAM GEPREK REMPAH NARIPAN,JL. NARIPAN NO.34,sumur bandung,1.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5),Restaurant,81,8,2.0,enriched_v1.0,2025-07-09
MEATSOLOGIST STEAK HALL,"THE HALLWAY SPACE, PS. KOSAMBI, JL. A. YANI LANTAI 2",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Western Food,1021,10,2.0,enriched_v1.0,2025-07-09
28 KOPI,JL. VETERAN NO.28,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,80,1,2.0,enriched_v1.0,2025-07-09
PIZZA RIVERSIDE,JL. VETERAN NO.37,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Fast Food,290,4,2.0,enriched_v1.0,2025-07-09
SOP BUNTUT SAPI HJ. INE,"JL. A. YANI NO.29B, RT.001/RW.002",sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,549,8,2.0,enriched_v1.0,2025-07-09
SATE BANG ROHIM NARIPAN,JL. NARIPAN NO.57-61,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,62,8,2.0,enriched_v1.0,2025-07-09
KITCHEN HUB,JL. SUNDA NO.69,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,169,8,2.0,enriched_v1.0,2025-07-09
SOONYOTO,PS. KOSAMBI,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3151,8,2.0,enriched_v1.0,2025-07-09
NATUNA SEAFOOD,JL. NATUNA NO.7,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Seafood,226,9,2.0,enriched_v1.0,2025-07-09
ANEKA 38 SEAFOOD BANDUNG,JL. SUMATERA NO.18,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Seafood,77,9,2.0,enriched_v1.0,2025-07-09
GLUTEN FREE COOKIES NOII'S KITCHEN,JL. EMBONG NO.16,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,85,8,2.0,enriched_v1.0,2025-07-09
BATAGOR KINGSLEY,JL. VETERAN NO.25,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,2440,8,2.0,enriched_v1.0,2025-07-09
ACUS DAPUR NUSANTARA,"RUKO ITC KOSAMBI, JL. BARANANG SIANG NO.12 BLOK G",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,114,8,2.0,enriched_v1.0,2025-07-09
WARTEG IBU BROTO,"3JM9+2M3, ALUN ALUN BELAKANG JIWASRAYA",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,429,8,2.0,enriched_v1.0,2025-07-09
WARUNG NASI BU CUCU,"3JJ9+FQW, JL. BARANANG SIANG",sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,380,7,2.0,enriched_v1.0,2025-07-09
NASI GORENG KAMBING PUTRA BANYUMAS,"ITC KOSAMBI, DPAN, JL. BARANANG SIANG",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,87,7,2.0,enriched_v1.0,2025-07-09
